【整租】福泰院子 上地 上地福泰院子,上地,3200,http://bj.58.com/pinpaigongyu/33322211376043x.shtml?psid=171145161199284404617348897
【整租】沙河 兆丰家园西区 1室1厅,兆丰家园西区,3000,http://bj.58.com/pinpaigongyu/33240647878976x.shtml?psid=171145161199284404617348897
【整租】福泰院子 上地 上地福泰院子,上地,2800-3600,http://bj.58.com/pinpaigongyu/33255743706316x.shtml?psid=171145161199284404617348897
【整租】沙河 兆丰家园西区 1室1厅,兆丰家园西区,3000,http://bj.58.com/pinpaigongyu/33329324089417x.shtml?psid=171145161199284404617348897
【整租】沙河 保利罗兰香谷 2室1厅,保利罗兰香谷,4000,http://bj.58.com/pinpaigongyu/33329435953736x.shtml?psid=171145161199284404617348897
【合租】望京 康营家园14期 2室次卧,康营家园14期,2000,http://bj.58.com/pinpaigongyu/31949155147951x.shtml?psid=171145161199284404617348897
【合租】孙河 康营家园24期 3室次卧,康营家园24期,2580,http://bj.58.com/pinpaigongyu/33307322895928x.shtml?psid=171145161199284404617348897
【合租】来广营 康营家园14期 3室主卧,康营家园14期,2200,http://bj.58.com/pinpaigongyu/32737052412329x.shtml?psid=171145161199284404617348897
【合租】孙河 康营家园12期 2室次卧,康营家园12期,2000,http://bj.58.com/pinpaigongyu/31949187544895x.shtml?psid=171145161199284404617348897
【合租】孙河 康营家园24期 3室主卧,康营家园24期,2200,http://bj.58.com/pinpaigongyu/33241228019023x.shtml?psid=171145161199284404617348897
【整租】马连道 马连道西里小区 1室0厅,马连道西里小区,2999,http://bj.58.com/pinpaigongyu/31449498998467x.shtml?psid=171145161199284404617348897
【整租】乐乎社区 豆各庄 乐乎京哈店,豆各庄,2400-2800,http://bj.58.com/pinpaigongyu/33322053625021x.shtml?psid=171145161199284404617348897
【合租】新宫 德鑫嘉园 3室主卧,德鑫嘉园,2560,http://bj.58.com/pinpaigongyu/33252634457294x.shtml?psid=171145161199284404617348897
【合租】北苑 茉藜园 3室次卧,茉藜园,2500,http://bj.58.com/pinpaigongyu/32292646086982x.shtml?psid=171145161199284404617348897
